,hannanum,kkma,komoran,okt
23,"('만', 'JX')","('ㄴ', 'ETD')","('내세우', 'VV')","('다', 'Adverb')"
24,"('내세우', 'PV')","('것', 'NNB')","('었', 'EP')","('목적', 'Noun')"
25,"('었', 'EP')","('같', 'VA')","('던', 'ETM')","('실', 'Noun')"
26,"('던', 'ET')","('아', 'ECD')","('것', 'NNB')","('이', 'Josa')"
27,"('것', 'NB')","('.', 'SF')","('같', 'VA')","('학습', 'Noun')"
28,"('같', 'PA')","('다목적', 'NNG')","('아', 'EF')","('공간', 'Noun')"
29,"('아', 'EC')","('실', 'NNG')","('.', 'SF')","('으로만', 'Josa')"
30,"('.', 'SF')","('이', 'JKS')","('다목적', 'NNG')","('사용', 'Noun')"
31,"('다목적실', 'NC')","('학습', 'NNG')","('실', 'NNG')","('되는', 'Verb')"
32,"('이', 'JC')","('공간', 'NNG')","('이', 'JKS')","('것', 'Noun')"
33,"('학습', 'NC')","('으로', 'JKM')","('학습', 'NNG')","('에', 'Josa')"
34,"('공간', 'NC')","('만', 'JX')","('공간', 'NNG')","('평소', 'Noun')"
35,"('으로', 'JC')","('사용', 'NNG')","('으로', 'JKB')","('불만', 'Noun')"
36,"('만', 'JX')","('되', 'XSV')","('만', 'JX')","('이', 'Josa')"
37,"('사용', 'NC')","('는', 'ETD')","('사용', 'NNG')","('있어서', 'Adjective')"
38,"('되', 'XS')","('것', 'NNB')","('되', 'XSV')","(',', 'Punctuation')"
39,"('는', 'ET')","('에', 'JKM')","('는', 'ETM')","('다', 'Adverb')"
40,"('것', 'NB')","('평소', 'NNG')","('것', 'NNB')","('목적', 'Noun')"
41,"('에', 'JC')","('불만', 'NNG')","('에', 'JKB')","('실', 'Noun')"
42,"('평소', 'NC')","('이', 'JKS')","('평소', 'NNG')","('을', 'Josa')"
43,"('불만', 'NC')","('있', 'VV')","('불만', 'NNG')","('학습', 'Noun')"
44,"('이', 'JC')","('어서', 'ECD')","('이', 'JKS')","('공간', 'Noun')"
45,"('있', 'PX')","(',', 'SP')","('있', 'VV')","('으로', 'Josa')"
46,"('어서', 'EC')","('다목적', 'NNG')","('어서', 'EC')","('사용', 'Noun')"
47,"(',', 'SP')","('실', 'NNG')","(',', 'SP')","('하고', 'Josa')"
48,"('다목적실', 'NC')","('을', 'JKO')","('다목적', 'NNG')","('싶어', 'Verb')"
49,"('을', 'JC')","('학습', 'NNG')","('실', 'NNG')","('하는', 'Verb')"
50,"('학습', 'NC')","('공간', 'NNG')","('을', 'JKO')","('학생', 'Noun')"
51,"('공간', 'NC')","('으로', 'JKM')","('학습', 'NNG')","('들', 'Suffix')"
52,"('으로', 'JC')","('사용', 'NNG')","('공간', 'NNG')","('이', 'Josa')"
53,"('사용', 'NC')","('하', 'XSV')","('으로', 'JKB')","('많다는', 'Adjective')"
