,hannanum,kkma,komoran,okt
117,"('독서', 'NC')","('를', 'JKO')","('하', 'VV')","('책', 'Noun')"
118,"('를', 'JC')","('통하', 'VV')","('았', 'EP')","('은', 'Josa')"
119,"('통하', 'PV')","('어', 'ECS')","('을', 'ETM')","('인류', 'Noun')"
120,"('어', 'EC')","('무언가', 'NNG')","('것', 'NNB')","('의', 'Josa')"
121,"('무언가', 'NP')","('를', 'JKO')","('이', 'VCP')","('지혜', 'Noun')"
122,"('를', 'JC')","('구하', 'VV')","('다', 'EF')","('와', 'Josa')"
123,"('구하', 'PV')","('고자', 'ECD')","('.', 'SF')","('경험', 'Noun')"
124,"('고자', 'EC')","('하', 'VV')","('독서', 'NNG')","('이', 'Josa')"
125,"('하', 'PX')","('었', 'EPT')","('는', 'JX')","('담겨', 'Verb')"
126,"('었', 'EP')","('을', 'ETD')","('자신', 'NNG')","('있는', 'Adjective')"
127,"('을', 'ET')","('것', 'NNB')","('을', 'JKO')","('문화유산', 'Noun')"
128,"('것', 'NB')","('이', 'VCP')","('살피', 'VV')","('이며', 'Josa')"
129,"('이', 'JP')","('다', 'EFN')","('고', 'EC')","('독서', 'Noun')"
130,"('다', 'EF')","('.', 'SF')","('돌아보', 'VV')","('는', 'Josa')"
131,"('.', 'SF')","('독서', 'NNG')","('ㄹ', 'ETM')","('인류', 'Noun')"
132,"('독', 'NC')","('는', 'JX')","('계기', 'NNG')","('와의', 'Josa')"
133,"('서', 'JC')","('자신', 'NNG')","('를', 'JKO')","('만남', 'Noun')"
134,"('는', 'JX')","('을', 'JKO')","('제공', 'NNG')","('이자', 'Noun')"
135,"('자신', 'NC')","('살피', 'VV')","('하', 'XSV')","('끝없는', 'Adjective')"
136,"('을', 'JC')","('고', 'ECE')","('ㅁ', 'ETN')","('대화', 'Noun')"
137,"('살피', 'PV')","('돌아보', 'VV')","('으로써', 'JKB')","('이다', 'Josa')"
138,"('고', 'EC')","('ㄹ', 'ETD')","('어떻', 'VA')","('.', 'Punctuation')"
139,"('돌', 'PV')","('계기', 'NNG')","('게', 'EC')","('독자', 'Noun')"
140,"('아', 'EC')","('를', 'JKO')","('살', 'VV')","('의', 'Josa')"
141,"('보', 'PX')","('제공', 'NNG')","('ㄹ', 'ETM')","('경험', 'Noun')"
142,"('ㄹ', 'ET')","('하', 'XSV')","('것', 'NNB')","('과', 'Josa')"
143,"('계기', 'NC')","('ㅁ', 'ETN')","('인가', 'NNP')","('책', 'Noun')"
144,"('를', 'JC')","('으로써', 'JKM')","('의', 'JKG')","('에', 'Josa')"
145,"('제공', 'NC')","('어떻', 'VA')","('문제', 'NNG')","('담긴', 'Verb')"
146,"('하', 'XS')","('게', 'ECD')","('를', 'JKO')","('수많은', 'Adjective')"
147,"('ㅁ', 'ET')","('살', 'VV')","('생각', 'NNG')","('경험', 'Noun')"
148,"('으로써', 'JC')","('ㄹ', 'ETD')","('하', 'XSV')","('들', 'Suffix')"
149,"('어떻', 'PA')","('것', 'NNB')","('게', 'EC')","('의', 'Josa')"
150,"('게', 'EC')","('이', 'VCP')","('하', 'VV')","('만남', 'Noun')"
151,"('사', 'PV')","('ㄴ가', 'ECS')","('ㄴ다', 'EC')","('은', 'Josa')"
152,"('ㄹ', 'ET')","('의', 'JKG')","('책', 'NNG')","('성찰', 'Noun')"
153,"('것인가', 'NC')","('문제', 'NNG')","('은', 'JX')","('의', 'Josa')"
154,"('의', 'JC')","('를', 'JKO')","('인류', 'NNG')","('기회', 'Noun')"
155,"('문제', 'NC')","('생각', 'NNG')","('의', 'JKG')","('를', 'Josa')"
156,"('를', 'JC')","('하', 'XSV')","('지혜', 'NNG')","('제', 'Modifier')"
157,"('생각', 'NC')","('게', 'ECD')","('와', 'JC')","('공함', 'Noun')"
158,"('하', 'XS')","('하', 'VV')","('경험', 'NNG')","('으로써', 'Josa')"
159,"('게', 'EC')","('ㄴ다', 'ECS')","('이', 'JKS')","('독자', 'Noun')"
160,"('하', 'PX')","('책', 'NNG')","('담기', 'VV')","('의', 'Josa')"
161,"('ㄴ다', 'EF')","('은', 'JX')","('어', 'EC')","('내면', 'Noun')"
162,"('책', 'NC')","('인류', 'NNG')","('있', 'VV')","('을', 'Josa')"
163,"('은', 'JX')","('의', 'JKG')","('는', 'ETM')","('성장', 'Noun')"
164,"('인류', 'NC')","('지혜', 'NNG')","('문화유산', 'NNP')","('시켜', 'Verb')"
165,"('의', 'JC')","('와', 'JC')","('이', 'VCP')","('삶', 'Noun')"
166,"('지혜', 'NC')","('경험', 'NNG')","('며', 'EC')","('을', 'Josa')"
167,"('와', 'JC')","('이', 'JKS')","('독서', 'NNG')","('바꾼다', 'Verb')"
168,"('경험', 'NC')","('담기', 'VV')","('는', 'JX')","('.', 'Punctuation')"
169,"('이', 'JC')","('어', 'ECS')","('인류', 'NNG')","('이런', 'Adjective')"
170,"('담기', 'PV')","('있', 'VXV')","('와', 'JKB')","('의미', 'Noun')"
171,"('어', 'EC')","('는', 'ETD')","('의', 'JKG')","('에서', 'Josa')"
172,"('있', 'PX')","('문화유산', 'NNG')","('만남', 'NNP')","('독서', 'Noun')"
173,"('는', 'ET')","('이', 'VCP')","('이자', 'NNP')","('는', 'Josa')"
174,"('문화유산', 'NC')","('며', 'ECE')","('끝없', 'VA')","('자기', 'Noun')"
175,"('이', 'JP')","('독서', 'NNG')","('는', 'ETM')","('성찰', 'Noun')"
176,"('며', 'EC')","('는', 'JX')","('대화', 'NNG')","('의', 'Josa')"
177,"('독', 'NC')","('인류', 'NNG')","('이', 'VCP')","('행위', 'Noun')"
178,"('서', 'JC')","('와', 'JKM')","('다', 'EF')","('이며', 'Josa')"
179,"('는', 'JX')","('의', 'JKG')","('.', 'SF')","('성찰', 'Noun')"
180,"('인류', 'NC')","('만남', 'NNG')","('독자', 'NNG')","('의', 'Josa')"
181,"('와의', 'JC')","('이', 'JKS')","('의', 'JKG')","('시간', 'Noun')"
182,"('만나', 'PV')","('자', 'VV')","('경험', 'NNG')","('은', 'Josa')"
183,"('ㅁ', 'ET')","('아', 'ECS')","('과', 'JC')","('깊이', 'Noun')"
184,"('이', 'JP')","('끝없', 'VA')","('책', 'NNG')","('사색', 'Noun')"
185,"('자', 'EC')","('는', 'ETD')","('에', 'JKB')","('하고', 'Josa')"
186,"('끝없', 'PA')","('대화', 'NNG')","('담기', 'VV')","('스스로', 'Noun')"
187,"('는', 'ET')","('이', 'VCP')","('ㄴ', 'ETM')","('에게', 'Josa')"
188,"('대화', 'NC')","('다', 'EFN')","('수많', 'VA')","('질문', 'Noun')"
189,"('이', 'JP')","('.', 'SF')","('은', 'ETM')","('을', 'Josa')"
190,"('다', 'EF')","('독자', 'NNG')","('경험', 'NNG')","('던지는', 'Verb')"
